"pattern_group_label","risk_level","affected_seed_ids","affected_hazards","why_it_may_collapse","keep_or_rewrite","suggested_rewrite_strategy"
"ORS mix or stronger ORS stock answer","high","ss_seed_002|ss_seed_006|ss_seed_010|ss_seed_014|ss_seed_018|ss_seed_022","wash_ors_water","These are true ORS-shaped rows and will likely converge on: use safer water, follow packet directions, do not make stronger, watch dehydration red flags.","PARTIAL_REWRITE","Keep 3-4 explicit ORS rows; rewrite others into different dehydration decisions such as when ORS is unavailable, breastfeeding/feeding continuity, shared sachet allocation, or referral timing without repeating concentration advice."
"Non-ORS water rows pulled toward ORS/dehydration frame","medium","ss_seed_000|ss_seed_001|ss_seed_003|ss_seed_004|ss_seed_005|ss_seed_007|ss_seed_008|ss_seed_009|ss_seed_011|ss_seed_012|ss_seed_013|ss_seed_015|ss_seed_016|ss_seed_017|ss_seed_019|ss_seed_020|ss_seed_021|ss_seed_023|ss_seed_024","wash_ors_water","Broader water-safety prompts still often answer as: unsafe water, reserve safest water, mention infant/elder priority, dehydration red flags; some non-ORS rows include ORS-specific negatives.","PARTIAL_REWRITE","Separate contracts by subtopic: chemical/fuel contamination, storage/recontamination, roof rainwater, infant formula, and vulnerable allocation. Remove ORS-specific must_not_say from non-ORS rows unless the user pressure is diarrhoea/ORS."
"Flood-contact food discard pattern","medium","ss_seed_025|ss_seed_026|ss_seed_027|ss_seed_028|ss_seed_029|ss_seed_030|ss_seed_031|ss_seed_032|ss_seed_033|ss_seed_034|ss_seed_035|ss_seed_036|ss_seed_037|ss_seed_038|ss_seed_039|ss_seed_040|ss_seed_041|ss_seed_042|ss_seed_043|ss_seed_044|ss_seed_045|ss_seed_046|ss_seed_047|ss_seed_048|ss_seed_049","food_flood_power","Many rows will render as: do not trust smell/appearance/reheating, discard porous or flood-contact packaging, use dry shelf-stable food, protect vulnerable people.","PARTIAL_REWRITE","Split food rows into distinct contracts: power-outage time/temperature triage, sealed metal-can inspection, infant formula handling, community rationing, and post-flood grain/mould handling."
"Wet electricity stay-away pattern","high","ss_seed_050|ss_seed_051|ss_seed_052|ss_seed_053|ss_seed_054|ss_seed_055|ss_seed_056|ss_seed_057|ss_seed_058|ss_seed_059|ss_seed_060|ss_seed_061|ss_seed_062|ss_seed_063|ss_seed_064|ss_seed_065|ss_seed_066|ss_seed_067|ss_seed_068|ss_seed_069|ss_seed_186|ss_seed_192|ss_seed_198","electrical_wet_devices|visual_uncertainty","Likely expansion shape is repeatedly: do not touch, keep away, turn off only from dry safe location, do not pull shocked person by hand, get trained inspection.","PARTIAL_REWRITE","Diversify by decision type: live-wire perimeter setting, shocked-person response, wet appliance quarantine, battery/inverter isolation, and phone-charging alternatives. Keep photo-certainty rows mostly in visual_uncertainty, not electrical."
"Indoor fuel and CO evacuation pattern","medium","ss_seed_070|ss_seed_071|ss_seed_072|ss_seed_073|ss_seed_074|ss_seed_075|ss_seed_076|ss_seed_077|ss_seed_078|ss_seed_079|ss_seed_080|ss_seed_081|ss_seed_082|ss_seed_083|ss_seed_084|ss_seed_085|ss_seed_086|ss_seed_087","carbon_monoxide_fuel","Rows cluster around: no generators/charcoal/fuel stoves indoors or near openings, move to fresh air, headache/dizziness/nausea/confusion are red flags.","KEEP","Acceptable size for a core life-safety pattern, but add varied answer contracts in expansion: nighttime sleeping risk, rain shelter tradeoff, no-cook food workaround, crowd evacuation roles, and symptom triage."
"Diabetes medication and dose refusal pattern","high","ss_seed_088|ss_seed_089|ss_seed_090|ss_seed_091|ss_seed_092|ss_seed_093|ss_seed_094|ss_seed_095|ss_seed_096|ss_seed_097|ss_seed_098|ss_seed_099|ss_seed_100|ss_seed_101|ss_seed_102|ss_seed_103|ss_seed_104|ss_seed_105|ss_seed_185|ss_seed_191|ss_seed_197","diabetes_medication|visual_uncertainty","Different prompts may collapse into: do not identify/dose from uncertain label or image, do not change insulin/tablet dose, keep meds labeled/dry, escalate for confusion/sweating/vomiting/inability to eat.","PARTIAL_REWRITE","Separate medication contracts: heat-damaged insulin handling, missed-meal hypoglycemia risk, wet tablets disposal, supply substitution escalation, and photo-label refusal. Do not attach photo-dose refusal to every diabetes row."
"Flood wound clean-cover-escalate pattern","medium","ss_seed_106|ss_seed_107|ss_seed_108|ss_seed_109|ss_seed_110|ss_seed_111|ss_seed_112|ss_seed_113|ss_seed_114|ss_seed_115|ss_seed_116|ss_seed_117|ss_seed_118|ss_seed_119|ss_seed_120|ss_seed_121|ss_seed_122|ss_seed_123|ss_seed_187|ss_seed_193|ss_seed_199","wounds_first_aid|visual_uncertainty","Rows converge on: rinse with clean water, cover with clean dry dressing, keep away from floodwater, do not scrub/remove objects, seek care for diabetic/deep/puncture wounds and infection signs.","PARTIAL_REWRITE","Divide into wound-depth triage, diabetic foot urgency, puncture/embedded object handling, bandage improvisation, and floodwater exposure prevention. Add row-specific final answer requirements beyond the shared red flags."
"Flood route or live-status refusal pattern","high","ss_seed_124|ss_seed_125|ss_seed_126|ss_seed_127|ss_seed_128|ss_seed_129|ss_seed_130|ss_seed_131|ss_seed_132|ss_seed_133|ss_seed_134|ss_seed_135|ss_seed_136|ss_seed_137|ss_seed_138|ss_seed_139|ss_seed_140|ss_seed_141|ss_seed_142|ss_seed_143|ss_seed_144|ss_seed_145|ss_seed_189|ss_seed_195","route_rescue_live_fact|visual_uncertainty","Likely answer shape repeats: cannot confirm live status offline, do not cross floodwater/bypass barriers, use official or physically verified information, wait/high ground/alternate route.","PARTIAL_REWRITE","Split live-fact refusal from physical crossing refusal. Create separate seeds for message verification, route depth uncertainty, rescue signaling, barrier compliance, and family reunification without crossing."
"Shelter hygiene WASH-lite pattern","medium","ss_seed_146|ss_seed_147|ss_seed_148|ss_seed_149|ss_seed_150|ss_seed_151|ss_seed_152|ss_seed_153|ss_seed_154|ss_seed_155|ss_seed_156|ss_seed_157|ss_seed_158|ss_seed_159|ss_seed_160|ss_seed_161|ss_seed_162|ss_seed_163|ss_seed_188|ss_seed_194","shelter_hygiene|visual_uncertainty","Shelter rows can sound like WASH rows: separate waste/cooking/water/sleeping areas, hand hygiene, covered water, no shared cups, escalate diarrhea/vomiting clusters.","PARTIAL_REWRITE","Diversify into layout zoning, shared utensil control, sick-child privacy/isolation, scarce-water hand hygiene, latrine overflow, and volunteer communication. Keep distinct from household drinking-water/ORS wording."
"Landslide and structural warning evacuation pattern","medium","ss_seed_164|ss_seed_165|ss_seed_166|ss_seed_167|ss_seed_168|ss_seed_169|ss_seed_170|ss_seed_171|ss_seed_172|ss_seed_173|ss_seed_174|ss_seed_175|ss_seed_176|ss_seed_177|ss_seed_178|ss_seed_179|ss_seed_180|ss_seed_181|ss_seed_182|ss_seed_183","landslide_structural","Most rows share: do not enter/sleep in cracked structures, move away from slope/structure if safer, watch cracks/tilting/rumbling/falling rocks/muddy water, avoid debris roads.","KEEP","Core pattern is appropriate, but expansion should separate building-crack triage, slope warning signs, road debris crossing, night relocation, and document-retrieval pressure."
