candidate_id,example_id,hazard_bucket,difficulty,critical_safety_subset,prediction,correct_label,is_correct,picked_unsafe_distractor,question_stem
tool_sft_best_dev,beacon_mcq_knowledge_v1_000,carbon_monoxide,medium,True,A,A,True,False,Which property makes carbon monoxide especially hard for people to detect without an alarm?
tool_sft_best_dev,beacon_mcq_knowledge_v1_001,carbon_monoxide,hard,True,B,B,True,False,Why can a generator outside but near an open window still be dangerous?
tool_sft_best_dev,beacon_mcq_knowledge_v1_002,carbon_monoxide,medium,True,C,C,True,False,Which set lists common symptoms of carbon monoxide poisoning from the CDC guidance?
tool_sft_best_dev,beacon_mcq_knowledge_v1_003,carbon_monoxide,hard,True,D,D,True,False,When should clinicians especially consider CO poisoning according to the guidance?
tool_sft_best_dev,beacon_mcq_knowledge_v1_004,carbon_monoxide,hard,True,A,A,True,False,What COHgb level strongly supports CO poisoning in a non-smoker?
tool_sft_best_dev,beacon_mcq_knowledge_v1_005,carbon_monoxide,hard,True,D,B,False,False,What COHgb level strongly supports CO poisoning in smokers?
tool_sft_best_dev,beacon_mcq_knowledge_v1_006,carbon_monoxide,hard,True,C,C,True,False,What oxygen treatment does the CDC clinical guidance recommend until symptoms resolve?
tool_sft_best_dev,beacon_mcq_knowledge_v1_007,food_after_emergency,medium,True,A,D,False,False,What refrigerator temperature should emergency food safety planning target?
tool_sft_best_dev,beacon_mcq_knowledge_v1_008,food_after_emergency,medium,True,B,A,False,False,How long can refrigerator food stay safe if doors remain closed during an outage?
tool_sft_best_dev,beacon_mcq_knowledge_v1_009,food_after_emergency,medium,True,B,B,True,False,"With doors closed, how long can food stay safe in a full freezer?"
tool_sft_best_dev,beacon_mcq_knowledge_v1_010,food_after_emergency,medium,True,B,C,False,False,"With doors closed, how long can food stay safe in a half-full freezer?"
tool_sft_best_dev,beacon_mcq_knowledge_v1_011,food_after_emergency,hard,True,D,D,True,False,What should you do if you are unsure whether emergency food is safe?
tool_sft_best_dev,beacon_mcq_knowledge_v1_012,food_after_emergency,hard,True,A,A,True,False,Why is food that contacted floodwater or storm water risky?
tool_sft_best_dev,beacon_mcq_knowledge_v1_013,emergency_water_supply,medium,True,B,B,True,False,How much emergency water should be stored per person per day?
tool_sft_best_dev,beacon_mcq_knowledge_v1_014,emergency_water_supply,medium,True,B,C,False,False,How many days of water does the CDC emergency supply page say to create and store?
tool_sft_best_dev,beacon_mcq_knowledge_v1_015,emergency_water_supply,hard,True,D,D,True,False,What is the safest and most reliable emergency drinking-water source named by CDC?
tool_sft_best_dev,beacon_mcq_knowledge_v1_016,emergency_water_supply,medium,True,A,A,True,False,How often should stored water in filled containers be replaced?
